Genotype_Micro,Genotype,known_geno,Treatment,Tank,number_Samples,Final_State,R_final_state,Final_fraction_Disease,Days_to_disease_signs,days_from_initial_to_final,General_Notes,Extra_notes,extra2_notes,extra3_notes,Experiment,sample,tube_number,box,ID_Micro,SampleLocation,Disease_Exposed,Disease_Outcome,Disease_Prevalence,Sample_Uniq_ID,Exp_1,Exp_2,Exp_3,Exp_4,Sampled,timepoint,sample_date,Date_initial,Date_final,Date_exp_started,Real_timepoint,R_TP,R_treat,Order_TP
15-358,15_358,Y,C,62,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,470-5_2/16/22,470,5,62 _ 2 _ 15-358,T_470_Exp_2_Box_5,0,0,1,T_470_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
15-431,15_431,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,463-5_2/16/22,463,5,57 _ 2 _ 15-431,T_463_Exp_2_Box_5,0,0,1,T_463_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
AE3,AE3,Y,C,69,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,464-5_2/16/22,464,5,69 _ 2 _ AE3,T_464_Exp_2_Box_5,0,0,1,T_464_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
F32,F32,Y,C,56,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,457-5_2/16/22,457,5,56 _ 2 _ F32,T_457_Exp_2_Box_5,0,0,1,T_457_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB1,GB1,N,C,55,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,456-5_2/16/22,456,5,55 _ 2 _ GB1,T_456_Exp_2_Box_5,0,0,1,T_456_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB11,GB11,N,C,68,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,460-5_2/16/22,460,5,68 _ 2 _ GB11,T_460_Exp_2_Box_5,0,0,1,T_460_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB15,GB15,N,C,68,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,472-5_2/16/22,472,5,68 _ 2 _ GB15,T_472_Exp_2_Box_5,0,0,1,T_472_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB2,GB2,N,C,66,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,473-5_2/16/22,473,5,66 _ 2 _ GB2,T_473_Exp_2_Box_5,0,0,1,T_473_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB29,GB29,N,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,454-5_2/16/22,454,5,52 _ 2 _ GB29,T_454_Exp_2_Box_5,0,0,1,T_454_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB4,GB4,N,C,58,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,466-5_2/16/22,466,5,58 _ 2 _ GB4,T_466_Exp_2_Box_5,0,0,0.666666667,T_466_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF1,OF1,Y,C,53,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,455-5_2/16/22,455,5,53 _ 2 _ OF1,T_455_Exp_2_Box_5,0,0,1,T_455_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF100,OF100,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,462-5_2/16/22,462,5,57 _ 2 _ OF100,T_462_Exp_2_Box_5,0,0,1,T_462_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF125,OF125,Y,C,64,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,468-5_2/16/22,468,5,64 _ 2 _ OF125,T_468_Exp_2_Box_5,0,0,1,T_468_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF132,OF132,Y,C,60,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,469-5_2/16/22,469,5,60 _ 2 _ OF132,T_469_Exp_2_Box_5,0,0,0.666666667,T_469_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF3,OF3,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,461-5_2/16/22,461,5,59 _ 2 _ OF3,T_461_Exp_2_Box_5,0,0,0.666666667,T_461_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF457,OF457,Y,C,61,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,476-5_2/16/22,476,5,61 _ 2 _ OF457,T_476_Exp_2_Box_5,0,0,1,T_476_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF5,OF5,Y,C,70,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,465-5_2/16/22,465,5,70 _ 2 _ OF5,T_465_Exp_2_Box_5,0,0,0.666666667,T_465_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF655,OF655,Y,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,471-5_2/16/22,471,5,67 _ 2 _ OF655,T_471_Exp_2_Box_5,0,0,1,T_471_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF745,OF745,Y,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,475-5_2/16/22,475,5,67 _ 2 _ OF745,T_475_Exp_2_Box_5,0,0,1,T_475_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF75,OF75,Y,C,66,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,467-5_2/16/22,467,5,66 _ 2 _ OF75,T_467_Exp_2_Box_5,0,0,1,T_467_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
OF98,OF98,Y,C,59,3,Control,Healthy,0,NA,NA,Aggressive tissue loss on 2/15,NA,NA,NA,2,474-5_2/16/22,474,5,59 _ 2 _ OF98,T_474_Exp_2_Box_5,0,0,1,T_474_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
S373,S373,Y,C,70,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,459-5_2/16/22,459,5,70 _ 2 _ S373,T_459_Exp_2_Box_5,0,0,1,T_459_Exp_2,0,1,0,0,1,Final,2/16/22,NA,2/16/22,2/12/22,Final,FS,C,5
GB10,GB10,N,C,64,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,517-6_2/17/22,517,6,64 _ 2 _ GB10,T_517_Exp_2_Box_6,0,0,0.666666667,T_517_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
GB3,GB3,N,C,61,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,516-6_2/17/22,516,6,61 _ 2 _ GB3,T_516_Exp_2_Box_6,0,0,0.666666667,T_516_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
OF602,OF602,Y,C,58,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,510-6_2/17/22,510,6,58 _ 2 _ OF602,T_510_Exp_2_Box_6,0,0,1,T_510_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
OF657,OF657,Y,C,64,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,518-6_2/17/22,518,6,64 _ 2 _ OF657,T_518_Exp_2_Box_6,0,0,0.666666667,T_518_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
OF680,OF680,Y,C,60,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,511-6_2/17/22,511,6,60 _ 2 _ OF680,T_511_Exp_2_Box_6,0,0,1,T_511_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
S503,S503,Y,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,509-6_2/17/22,509,6,52 _ 2 _ S503,T_509_Exp_2_Box_6,0,0,1,T_509_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
S509,S509,Y,C,58,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,514-6_2/17/22,514,6,58 _ 2 _ S509,T_514_Exp_2_Box_6,0,0,1,T_514_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
S575,S575,Y,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,512-6_2/17/22,512,6,59 _ 2 _ S575,T_512_Exp_2_Box_6,0,0,0.666666667,T_512_Exp_2,0,1,0,0,1,Final,2/17/22,NA,2/17/22,2/12/22,Final,FS,C,5
F-1-A,F_1_A,Y,C,62,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,539-6_2/18/22,539,6,62 _ 2 _ F-1-A,T_539_Exp_2_Box_6,0,0,1,T_539_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
GB13,GB13,N,C,59,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,536-6_2/18/22,536,6,59 _ 2 _ GB13,T_536_Exp_2_Box_6,0,0,0.666666667,T_536_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
GB18,GB18,N,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,537-6_2/18/22,537,6,67 _ 2 _ GB18,T_537_Exp_2_Box_6,0,0,1,T_537_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
OF11,OF11,Y,C,54,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,535-6_2/18/22,535,6,54 _ 2 _ OF11,T_535_Exp_2_Box_6,0,0,1,T_535_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
OF554,OF554,Y,C,63,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,541-6_2/18/22,541,6,63 _ 2 _ OF554,T_541_Exp_2_Box_6,0,0,1,T_541_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
OF662,OF662,Y,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,531-6_2/18/22,531,6,52 _ 2 _ OF662,T_531_Exp_2_Box_6,0,0,1,T_531_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
S509,S509,Y,C,64,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,540-6_2/18/22,540,6,64 _ 2 _ S509,T_540_Exp_2_Box_6,0,0,1,T_540_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
UK25,UK25,Y,C,51,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,530-6_2/18/22,530,6,51 _ 2 _ UK25,T_530_Exp_2_Box_6,0,0,1,T_530_Exp_2,0,1,0,0,1,Final,2/18/22,NA,2/18/22,2/12/22,Final,FS,C,5
OF46,OF46,Y,C,66,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,577-6_2/19/22,577,6,66 _ 2 _ OF46,T_577_Exp_2_Box_6,0,0,1,T_577_Exp_2,0,1,0,0,1,Final,2/19/22,NA,2/19/22,2/12/22,Final,FS,C,5
OF566,OF566,Y,C,63,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,576-6_2/19/22,576,6,63 _ 2 _ OF566,T_576_Exp_2_Box_6,0,0,0.5,T_576_Exp_2,0,1,0,0,1,Final,2/19/22,NA,2/19/22,2/12/22,Final,FS,C,5
OF656,OF656,Y,C,53,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,594-7_2/21/22,594,7,53 _ 2 _ OF656,T_594_Exp_2_Box_7,0,0,1,T_594_Exp_2,0,1,0,0,1,Final,2/21/22,NA,2/21/22,2/12/22,Final,FS,C,5
AE10,AE10,Y,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,600-7_2/23/22,600,7,52 _ 2 _ AE10,T_600_Exp_2_Box_7,0,0,0,T_600_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
GB14,GB14,N,C,56,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,604-7_2/23/22,604,7,56 _ 2 _ GB14,T_604_Exp_2_Box_7,0,0,0.666666667,T_604_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
GB17,GB17,N,C,55,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,603-7_2/23/22,603,7,55 _ 2 _ GB17,T_603_Exp_2_Box_7,0,0,0.666666667,T_603_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
GB24,GB24,N,C,51,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,602-7_2/23/22,602,7,51 _ 2 _ GB24,T_602_Exp_2_Box_7,0,0,0.666666667,T_602_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
GB26,GB26,N,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,601-7_2/23/22,601,7,52 _ 2 _ GB26,T_601_Exp_2_Box_7,0,0,0.333333333,T_601_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
GB27,GB27,N,C,51,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,599-7_2/23/22,599,7,51 _ 2 _ GB27,T_599_Exp_2_Box_7,0,0,0,T_599_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
GB5,GB5,N,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,606-7_2/23/22,606,7,57 _ 2 _ GB5,T_606_Exp_2_Box_7,0,0,0.5,T_606_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
OF393,OF393,Y,C,69,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,608-7_2/23/22,608,7,69 _ 2 _ OF393,T_608_Exp_2_Box_7,0,0,0.333333333,T_608_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
OF56,OF56,Y,C,62,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,610-7_2/23/22,610,7,62 _ 2 _ OF56,T_610_Exp_2_Box_7,0,0,0,T_610_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
S439,S439,Y,C,60,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,607-7_2/23/22,607,7,60 _ 2 _ S439,T_607_Exp_2_Box_7,0,0,0.5,T_607_Exp_2,0,1,0,0,1,Final,2/23/22,NA,2/23/22,2/12/22,Final,FS,C,5
S483,S483,Y,C,63,4,Control,Healthy,0,NA,NA,two samples on 2/18 one for initial disease on geno in t29 and one for final for geno in t6,NA,NA,NA,2,533-6_2/18/22,533,6,63 _ 2 _ S483,T_533_Exp_2_Box_6,0,0,1,T_533_Exp_2,0,1,0,0,1,Final,2/18/22,2/18/22,2/18/22,2/12/22,Final,FS,C,5
GB8,GB8,N,C,65,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,2,609-7_2/23/22,609,7,65 _ 2 _ GB8,T_609_Exp_2_Box_7,0,0,0.333333333,T_609_Exp_2,0,1,0,0,1,Final,2/23/22,2/23/22,2/23/22,2/12/22,Final,FS,C,5
S483,S483,Y,C,63,4,Control,Healthy,0,NA,NA,two samples on 2/18 one for initial disease on geno in t29 and one for final for geno in t6,NA,NA,NA,2,560-6_2/18/22,560,6,63 _ 2 _ S483,T_560_Exp_2_Box_6,0,0,1,T_560_Exp_2,0,1,0,0,1,Initial_Disease,2/18/22,2/18/22,2/18/22,2/12/22,Final,FS,C,5
OF11,OF11,Y,C,63,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,457-5_3/14/22,457,5,63 _ 3 _ OF11,T_457_Exp_3_Box_5,0,0,1,T_457_Exp_3,0,0,1,0,1,Final,3/14/22,3/12/22,3/14/22,3/11/22,Final,FS,C,5
OF97,OF97,Y,C,68,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,446-5_3/14/22,446,5,68 _ 3 _ OF97,T_446_Exp_3_Box_5,0,0,1,T_446_Exp_3,0,0,1,0,1,Final,3/14/22,3/12/22,3/14/22,3/11/22,Final,FS,C,5
M17,M17,N,C,70,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,516-6_3/15/22,516,6,70 _ 3 _ M17,T_516_Exp_3_Box_6,0,0,0.5,T_516_Exp_3,0,0,1,0,1,Final,3/15/22,3/12/22,3/15/22,3/11/22,Final,FS,C,5
GB6,GB6,N,C,60,4,Control,Healthy,0,NA,NA,588 was initial disease,initial disease,NA,NA,3,593-7_3/20/22,593,7,60 _ 3 _ GB6,T_593_Exp_3_Box_7,0,0,0.5,T_593_Exp_3,0,0,1,0,1,Final,3/20/22,3/12/22,3/20/22,3/11/22,Final,FS,C,5
OF125,OF125,Y,C,63,3,Control,Healthy,0,NA,NA,see notes for disease pair,NA,NA,NA,3,460-5_3/14/22,460,5,63 _ 3 _ OF125,T_460_Exp_3_Box_5,0,0,1,T_460_Exp_3,0,0,1,0,1,Final,3/14/22,3/13/22,3/14/22,3/11/22,Final,FS,C,5
GB1,GB1,N,C,51,3,Control,Healthy,0,NA,NA,3/13/22 was ID pair,NA,NA,NA,3,592-7_3/20/22,592,7,51 _ 3 _ GB1,T_592_Exp_3_Box_7,0,0,1,T_592_Exp_3,0,0,1,0,1,Final,3/20/22,3/13/22,3/20/22,3/11/22,Final,FS,C,5
M11,M11,N,C,58,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,448-5_3/14/22,448,5,58 _ 3 _ M11,T_448_Exp_3_Box_5,0,0,1,T_448_Exp_3,0,0,1,0,1,Final,3/14/22,3/14/22,3/14/22,3/11/22,Final,FS,C,5
M23,M23,N,C,55,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,508-6_3/15/22,508,6,55 _ 3 _ M23,T_508_Exp_3_Box_6,0,0,1,T_508_Exp_3,0,0,1,0,1,Final,3/15/22,3/14/22,3/15/22,3/11/22,Final,FS,C,5
OF96,OF96,Y,C,64,4,Control,Healthy,0,NA,NA,"replaced after first pre-exposure scrape, so scraped on different date. 3.27.22 final control scrape tube #609 for second rep",original pre-exposure?,final,NA,3,513-6_3/15/22,513,6,64 _ 3 _ OF96,T_513_Exp_3_Box_6,0,0,0.666666667,T_513_Exp_3,0,0,1,0,1,Final,3/15/22,3/14/22,3/15/22,3/11/22,Final,FS,C,5
M9,M9,N,C,55,4,Control,Healthy,0,NA,NA,"520 was an ID pair on 3/16, but geno chunk was also taken",NA,NA,NA,3,536-6_3/17/22,536,6,55 _ 3 _ M9,T_536_Exp_3_Box_6,0,0,1,T_536_Exp_3,0,0,1,0,1,Final,3/17/22,3/14/22,3/17/22,3/11/22,Final,FS,C,5
M30,M30,N,C,60,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,581-7_3/18,581,7,60 _ 3 _ M30,T_581_Exp_3_Box_7,0,0,1,T_581_Exp_3,0,0,1,0,1,Final,3/18/22,3/15/22,3/18/22,3/11/22,Final,FS,C,5
GB20,GB20,N,C,69,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,611-7_3/25/22,611,7,69 _ 3 _ GB20,T_611_Exp_3_Box_7,0,0,1,T_611_Exp_3,0,0,1,0,1,Final,3/25/22,3/15/22,3/25/22,3/11/22,Final,FS,C,5
GB4,GB4,N,C,59,4,Control,Healthy,0,NA,NA,healthy,NA,NA,NA,3,605-7_3/27/22,605,7,59 _ 3 _ GB4,T_605_Exp_3_Box_7,0,0,0.666666667,T_605_Exp_3,0,0,1,0,1,Final,3/27/22,3/16/22,3/27/22,3/11/22,Final,FS,C,5
GB21,GB21,N,C,70,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,576-7_3/18/22,576,7,70 _ 3 _ GB21,T_576_Exp_3_Box_7,0,0,0.666666667,T_576_Exp_3,0,0,1,0,1,Final,3/18/22,3/17/22,3/18/22,3/11/22,Final,FS,C,5
M7,M7,N,C,57,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,578-7_3/18/22,578,7,57 _ 3 _ M7,T_578_Exp_3_Box_7,0,0,1,T_578_Exp_3,0,0,1,0,1,Final,3/18/22,3/17/22,3/18/22,3/11/22,Final,FS,C,5
S59,S59,Y,C,55,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,574-7_3/18/22,574,7,55 _ 3 _ S59,T_574_Exp_3_Box_7,0,0,1,T_574_Exp_3,0,0,1,0,1,Final,3/18/22,3/17/22,3/18/22,3/11/22,Final,FS,C,5
M8,M8,N,C,66,4,Control,Healthy,0,NA,NA,healthy,NA,NA,NA,3,610-7_3/27/22,610,7,66 _ 3 _ M8,T_610_Exp_3_Box_7,0,0,0.5,T_610_Exp_3,0,0,1,0,1,Final,3/27/22,3/17/22,3/27/22,3/11/22,Final,FS,C,5
F-1-A,F_1_A,Y,C,62,4,Control,Healthy,0,NA,NA,579 - paired sample for geno in t30; but coral had been moved out of the experimental system and into a secondary holding system on 3/14 by mistake; no final control sample for the geno in tank 30,NA,NA,NA,3,435-5_3/14/22,435,5,62 _ 3 _ F-1-A,T_435_Exp_3_Box_5,0,0,1,T_435_Exp_3,0,0,1,0,1,Final,3/14/22,3/18/22,3/14/22,3/11/22,Final,FS,C,5
OF132,OF132,Y,C,67,4,Control,Healthy,0,NA,NA,sampled before it died,NA,NA,NA,3,596-7_3/21/22,596,7,67 _ 3 _ OF132,T_596_Exp_3_Box_7,0,0,0.666666667,T_596_Exp_3,0,0,1,0,1,Final,3/21/22,3/18/22,3/21/22,3/11/22,Final,FS,C,5
15-349,15_349,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,451-5_3/14/22,451,5,57 _ 3 _ 15-349,T_451_Exp_3_Box_5,0,0,0.666666667,T_451_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
GB16,GB16,N,C,64,3,Control,Healthy,0,NA,NA,written down as initial on 3/14 but was the final sample; control kept in the experiment by mistake through 3/22,NA,NA,NA,3,437-5_3/14/22,437,5,64 _ 3 _ GB16,T_437_Exp_3_Box_5,0,0,1,T_437_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
GB18,GB18,N,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,444-5_3/14/22,444,5,67 _ 3 _ GB18,T_444_Exp_3_Box_5,0,0,1,T_444_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
GB19,GB19,N,C,68,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,436-5_3/14/22,436,5,68 _ 3 _ GB19,T_436_Exp_3_Box_5,0,0,1,T_436_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M18,M18,N,C,63,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,443-5_3/14/22,443,5,63 _ 3 _ M18,T_443_Exp_3_Box_5,0,0,1,T_443_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M19,M19,N,C,65,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,452-5_3/14/22,452,5,65 _ 3 _ M19,T_452_Exp_3_Box_5,0,0,1,T_452_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M24,M24,N,C,54,3,Control,Healthy,0,NA,NA,3/14/22 10% TL on control; tube 491 was an extra scrape on 3/14/22 becasue of the TL and the disease pair being stk on 3/14,NA,NA,NA,3,458-5_3/14/22,458,5,54 _ 3 _ M24,T_458_Exp_3_Box_5,0,0,1,T_458_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M26,M26,N,C,66,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,456-5_3/14/22,456,5,66 _ 3 _ M26,T_456_Exp_3_Box_5,0,0,1,T_456_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M32,M32,N,C,61,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,455-5_3/14/22,455,5,61 _ 3 _ M32,T_455_Exp_3_Box_5,0,0,0.666666667,T_455_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M36,M36,N,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,440-5_3/14/22,440,5,57 _ 3 _ M36,T_440_Exp_3_Box_5,0,0,1,T_440_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M4,M4,N,C,67,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,447-5_3/14/22,447,5,67 _ 3 _ M4,T_447_Exp_3_Box_5,0,0,0.666666667,T_447_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
M5,M5,N,C,56,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,438-5_3/14/22,438,5,56 _ 3 _ M5,T_438_Exp_3_Box_5,0,0,1,T_438_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
OF512,OF512,Y,C,69,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,449-5_3/14/22,449,5,69 _ 3 _ OF512,T_449_Exp_3_Box_5,0,0,1,T_449_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
OF61,OF61,Y,C,70,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,3,441-5_3/14/22,441,5,70 _ 3 _ OF61,T_441_Exp_3_Box_5,0,0,1,T_441_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
S378,S378,Y,C,56,3,Control,Healthy,0,NA,NA,tube 503 scraped as final pair for geno in tank 47; Tube 459 was for the geno in t43 on 3/14/22,final,NA,NA,3,459-5_3/14/22,459,5,56 _ 3 _ S378,T_459_Exp_3_Box_5,0,0,1,T_459_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
UK25,UK25,Y,C,58,3,Control,Healthy,0,NA,NA,"added after pre-exposure scrape, so scraped on different date",NA,NA,NA,3,454-5_3/14/22,454,5,58 _ 3 _ UK25,T_454_Exp_3_Box_5,0,0,1,T_454_Exp_3,0,0,1,0,1,Final,3/14/22,NA,3/14/22,3/11/22,Final,FS,C,5
